sample_id,text,esg_label,sentiment_label,source_name,source_url,company,risk_label,split_source,split
5,"Walmart says its sustainability work includes reducing greenhouse gas emissions, regenerating natural resources, reducing product and packaging waste, and improving supply chain resilience.",Environmental,Positive,Walmart Sustainability,https://corporate.walmart.com/purpose/sustainability,Walmart,Low,esg_real_world_50_samples.csv,train
HARD_S_003,Management introduced a new human rights due diligence process for sourcing from higher-risk regions.,Social,Neutral,synthetic_hard_examples,,Company Psi,Medium,esg_hard_examples_v3.csv,train
manual_esg_test_003,The firm increased investment in water conservation and waste reduction programs.,Environmental,Positive,manual,,Company C,Low,manual_esg_test.csv,train
24,"Coca-Cola HBC describes employee onboarding and leadership programs that cover diversity, equity, inclusion, and human rights topics.",Social,Positive,Coca-Cola HBC Sustainability Statement 2024,https://www.coca-colahellenic.com/content/dam/cch/us/documents/oar2024/sustainability-statement-2024.pdf,Coca-Cola HBC,Low,esg_real_world_50_samples.csv,train
1,"Microsoft states that it is pursuing carbon negative, water positive, and zero waste goals by 2030, with environmental reporting focused on carbon, water, waste, and ecosystems.",Environmental,Positive,Microsoft Sustainability,https://www.microsoft.com/en-us/corporate-responsibility/sustainability,Microsoft,Low,esg_real_world_50_samples.csv,train
HARD_E_012,The board approved new targets for water usage intensity after several regions reported tightening water permits.,Environmental,Neutral,synthetic_hard_examples,,Company Mu,Medium,esg_hard_examples_v3.csv,train
HARD_N_004,The quarterly update highlighted a share repurchase program funded by excess operating cash flow.,Non-ESG,Positive,synthetic_hard_examples,,Company Nimbus,Low,esg_hard_examples_v3.csv,train
HARD_G_004,Shareholder rights were strengthened through a new proxy access policy and clearer voting procedures.,Governance,Positive,synthetic_hard_examples,,Company Timber,Low,esg_hard_examples_v3.csv,train
30,The SEC charged Vale with misleading investors about dam safety and related environmental and economic risks before a major mining disaster.,Governance,Negative,SEC Vale dam safety case,https://www.sec.gov/newsroom/press-releases/2022-72,Vale,High,esg_real_world_50_samples.csv,train
manual_esg_test_020,The company reported lower sales due to weak consumer demand.,Non-ESG,Negative,manual,,Company T,Low,manual_esg_test.csv,train
13,Nike's sustainability materials frame climate change as a major challenge and describe innovation efforts intended to reduce environmental impact across products and operations.,Environmental,Positive,Nike Sustainability,https://about.nike.com/en/mission/focus-areas/sustainability,Nike,Low,esg_real_world_50_samples.csv,train
HARD_G_001,The board oversight review found that the audit committee did not escalate repeated internal controls issues quickly enough.,Governance,Negative,synthetic_hard_examples,,Company Quartz,High,esg_hard_examples_v3.csv,train
HARD_S_014,The company expanded mentorship and diversity and inclusion targets for women in operations leadership.,Social,Positive,synthetic_hard_examples,,Company Juniper,Low,esg_hard_examples_v3.csv,train
HARD_N_010,The company reported stronger operating margin as freight costs eased and product mix improved.,Non-ESG,Positive,synthetic_hard_examples,,Company Trident,Low,esg_hard_examples_v3.csv,train
32,"The SEC climate disclosure rule increased governance expectations for board oversight, risk controls, and reliable public-company climate reporting.",Governance,Neutral,SEC climate disclosure rule,https://www.sec.gov/newsroom/press-releases/2024-31,SEC climate rule,Medium,esg_real_world_50_samples.csv,train
manual_esg_test_009,The company reported a data privacy incident affecting customer information.,Social,Negative,manual,,Company I,High,manual_esg_test.csv,train
HARD_G_008,A whistleblower complaint alleged greenwashing in marketing claims about the sustainability of a flagship product line.,Governance,Negative,synthetic_hard_examples,,Company Xenon,High,esg_hard_examples_v3.csv,train
HARD_E_011,The filing acknowledged a spike in nitrogen oxide emissions during plant maintenance outages.,Environmental,Negative,synthetic_hard_examples,,Company Lambda,High,esg_hard_examples_v3.csv,train
HARD_S_010,The report noted persistent labor conditions complaints from temporary workers at a seasonal packaging site.,Social,Negative,synthetic_hard_examples,,Company Forge,High,esg_hard_examples_v3.csv,train
HARD_E_007,The company stated that biodiversity monitoring will continue around new mining assets but did not report measurable restoration outcomes.,Environmental,Neutral,synthetic_hard_examples,,Company Eta,Medium,esg_hard_examples_v3.csv,train
HARD_N_017,Foreign exchange headwinds offset some benefits from higher unit volumes in Latin America.,Non-ESG,Negative,synthetic_hard_examples,,Company Driftwood,Low,esg_hard_examples_v3.csv,train
33,"Unilever states that its board and corporate responsibility committee oversee human rights due diligence and risk management, linking social risk to governance oversight.",Governance,Positive,Unilever Sustainability Statement,https://www.unilever.com/files/unilever-sustainability-statement.pdf,Unilever,Low,esg_real_world_50_samples.csv,train
15,"Nike reported maintaining pay equity for women globally and U.S. racial and ethnic minorities, while continuing efforts to diversify leadership and strengthen representation.",Social,Positive,Nike FY22 Impact Report,https://about.nike.com/en/resources/fy22-nike-inc-impact-report,Nike,Low,esg_real_world_50_samples.csv,train
34,"Walmart frames ESG reporting as part of building stakeholder trust while managing emissions, responsible sourcing, natural resources, and supply chain resilience.",Governance,Positive,Walmart Sustainability,https://corporate.walmart.com/purpose/sustainability,Walmart,Low,esg_real_world_50_samples.csv,train
HARD_S_009,"Community impact spending increased around the firm's new manufacturing corridor, with funding directed to local job training.",Social,Positive,synthetic_hard_examples,,Company Ember,Low,esg_hard_examples_v3.csv,train
HARD_S_004,The annual report described stronger diversity and inclusion hiring outcomes across technical leadership roles.,Social,Positive,synthetic_hard_examples,,Company Omega,Low,esg_hard_examples_v3.csv,train
22,Amazon's sustainability reporting references workplace safety programs and supply chain standards as part of its broader sustainability operating model.,Social,Neutral,Amazon Sustainability Report 2024,https://sustainability.aboutamazon.com/2024-report,Amazon,Medium,esg_real_world_50_samples.csv,train
HARD_N_013,Quarterly revenue improved modestly even though foreign exchange reduced the reported growth rate.,Non-ESG,Positive,synthetic_hard_examples,,Company Warden,Low,esg_hard_examples_v3.csv,train
HARD_E_014,The company recorded higher waste treatment costs after contamination was found in storage areas near a distribution hub.,Environmental,Negative,synthetic_hard_examples,,Company Xi,High,esg_hard_examples_v3.csv,train
19,"Coca-Cola HBC states that it is committed to identifying, preventing, and mitigating adverse human rights impacts connected with employees and business relationships.",Social,Positive,Coca-Cola HBC Sustainability Statement 2024,https://www.coca-colahellenic.com/content/dam/cch/us/documents/oar2024/sustainability-statement-2024.pdf,Coca-Cola HBC,Low,esg_real_world_50_samples.csv,train
HARD_N_011,Inventory adjustment charges increased after demand shifted away from older consumer models.,Non-ESG,Negative,synthetic_hard_examples,,Company Umber,Low,esg_hard_examples_v3.csv,train
HARD_E_018,The company expanded renewable energy contracts to cover a larger share of manufacturing electricity demand.,Environmental,Positive,synthetic_hard_examples,,Company Sigma,Low,esg_hard_examples_v3.csv,train
HARD_G_003,The company disclosed a regulatory investigation related to possible bribery in overseas procurement contracts.,Governance,Negative,synthetic_hard_examples,,Company Summit,High,esg_hard_examples_v3.csv,train
4,Apple's environmental reporting highlights increased use of recycled and renewable materials across products to reduce product lifecycle emissions.,Environmental,Positive,Apple Environmental Progress Report 2024,https://www.apple.com/environment/pdf/Apple_Environmental_Progress_Report_2024.pdf,Apple,Low,esg_real_world_50_samples.csv,train
manual_esg_test_017,The firm launched a new mobile application for retail customers.,Non-ESG,Neutral,manual,,Company Q,Low,manual_esg_test.csv,train
37,"The Los Angeles County lawsuit against beverage companies alleges misleading environmental claims, creating governance risk around disclosure controls and marketing oversight.",Governance,Negative,AP beverage plastic lawsuit,https://apnews.com/article/c326225a08b2a2778afdd27d3db2d628,Coca-Cola / PepsiCo,High,esg_real_world_50_samples.csv,train
HARD_S_019,"The filing described a workforce reduction tied to automation, with unions criticizing the pace of consultation.",Social,Negative,synthetic_hard_examples,,Company Orion,High,esg_hard_examples_v3.csv,train
HARD_G_016,Board oversight of compliance was expanded after separating the chief executive and chair roles.,Governance,Positive,synthetic_hard_examples,,Company Flint,Low,esg_hard_examples_v3.csv,train
HARD_N_003,The firm launched a new product line aimed at premium customers in urban markets.,Non-ESG,Positive,synthetic_hard_examples,,Company Mosaic,Low,esg_hard_examples_v3.csv,train
HARD_N_001,The company raised quarterly revenue guidance after stronger subscription renewals in North America.,Non-ESG,Positive,synthetic_hard_examples,,Company Kindle,Low,esg_hard_examples_v3.csv,train
HARD_S_001,The company reported fewer worker safety incidents after expanding mandatory training at warehouse and transport sites.,Social,Positive,synthetic_hard_examples,,Company Phi,Low,esg_hard_examples_v3.csv,train
39,"Starbucks' annual report discusses risks related to opening new stores, scaling supply chain infrastructure, and adapting product offerings to consumer preferences.",Non-ESG,Neutral,Starbucks Fiscal 2024 Annual Report,https://s203.q4cdn.com/326826266/files/doc_financials/2024/ar/Starbucks-Fiscal-2024-Annual-Report.pdf,Starbucks,Low,esg_real_world_50_samples.csv,train
26,"Amazon's report highlights efforts to build a more sustainable company for partners, employees, and communities while continuing to manage workplace and supply chain priorities.",Social,Neutral,Amazon Sustainability Report 2024,https://sustainability.aboutamazon.com/2024-amazon-sustainability-report.pdf,Amazon,Medium,esg_real_world_50_samples.csv,train
manual_esg_test_008,The company expanded diversity and inclusion programs across global offices.,Social,Positive,manual,,Company H,Low,manual_esg_test.csv,train
HARD_E_003,The annual report noted higher water usage at several facilities located in drought-prone regions without a matching reduction target.,Environmental,Negative,synthetic_hard_examples,,Company Gamma,High,esg_hard_examples_v3.csv,train
HARD_S_005,The company faced allegations of employee harassment that triggered an internal review and external legal counsel.,Social,Negative,synthetic_hard_examples,,Company Atlas,High,esg_hard_examples_v3.csv,train
HARD_S_018,Management disclosed that supplier labor findings would now affect vendor renewal decisions and executive review.,Social,Neutral,synthetic_hard_examples,,Company Northstar,Medium,esg_hard_examples_v3.csv,train
manual_esg_test_012,The company was investigated for bribery and weak internal controls.,Governance,Negative,manual,,Company L,High,manual_esg_test.csv,train
35,"Microsoft's sustainability reporting describes transparency and accountability around environmental goals, which supports governance oversight of climate commitments.",Governance,Positive,Microsoft Sustainability Report,https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report/,Microsoft,Low,esg_real_world_50_samples.csv,train
HARD_S_002,A supplier labor audit found excessive overtime and weak grievance channels at several subcontractor facilities.,Social,Negative,synthetic_hard_examples,,Company Chi,High,esg_hard_examples_v3.csv,train
HARD_E_006,The sustainability update described lower landfill waste and better hazardous waste segregation across manufacturing sites.,Environmental,Positive,synthetic_hard_examples,,Company Zeta,Low,esg_hard_examples_v3.csv,train
HARD_N_012,Management approved an additional share repurchase authorization alongside unchanged capital expenditure guidance.,Non-ESG,Neutral,synthetic_hard_examples,,Company Vertex,Low,esg_hard_examples_v3.csv,train
manual_esg_test_005,The company published its annual climate transition plan.,Environmental,Neutral,manual,,Company E,Medium,manual_esg_test.csv,train
HARD_N_002,Management said foreign exchange volatility reduced reported sales despite stable unit demand.,Non-ESG,Negative,synthetic_hard_examples,,Company Ledger,Low,esg_hard_examples_v3.csv,train
HARD_E_017,Several investors challenged the company's climate transition assumptions because planned offsets were not supported by detailed disclosure.,Environmental,Negative,synthetic_hard_examples,,Company Rho,High,esg_hard_examples_v3.csv,train
HARD_E_015,Management said biodiversity risk assessments will be embedded in project approvals for new land-intensive sites.,Environmental,Neutral,synthetic_hard_examples,,Company Omicron,Medium,esg_hard_examples_v3.csv,train
HARD_N_016,A new product launch in the enterprise segment supported improved sales guidance for the fiscal year.,Non-ESG,Positive,synthetic_hard_examples,,Company Cobalt,Low,esg_hard_examples_v3.csv,train
47,"Starbucks annual reporting discusses market factors, supply chain infrastructure, product innovation, and customer response as business risks.",Non-ESG,Neutral,Starbucks Fiscal 2024 Annual Report,https://s203.q4cdn.com/326826266/files/doc_financials/2024/ar/Starbucks-Fiscal-2024-Annual-Report.pdf,Starbucks,Low,esg_real_world_50_samples.csv,train
HARD_S_013,A cybersecurity event exposed customer privacy weaknesses and required notification to impacted account holders.,Social,Negative,synthetic_hard_examples,,Company Ivory,High,esg_hard_examples_v3.csv,train
HARD_G_015,The company faced criticism after a regulatory investigation questioned the accuracy of sustainability-linked claims.,Governance,Negative,synthetic_hard_examples,,Company Echo,High,esg_hard_examples_v3.csv,train
manual_esg_test_013,The firm improved board independence by appointing additional independent directors.,Governance,Positive,manual,,Company M,Low,manual_esg_test.csv,train
HARD_S_020,The company reported stronger employee retention after improving shift scheduling and mental health benefits.,Social,Positive,synthetic_hard_examples,,Company Prairie,Low,esg_hard_examples_v3.csv,train
HARD_S_017,The company updated product safety testing standards before releasing a redesigned consumer device.,Social,Positive,synthetic_hard_examples,,Company Meridian,Low,esg_hard_examples_v3.csv,train
HARD_E_008,Management warned that stricter environmental regulation could increase compliance spending for wastewater treatment.,Environmental,Negative,synthetic_hard_examples,,Company Theta,High,esg_hard_examples_v3.csv,train
45,Nike publishes sustainability data files as part of its corporate reporting package and uses them to provide structured information to stakeholders.,Non-ESG,Neutral,Nike FY24 Sustainability Data,https://media.about.nike.com/files/460d3198-9609-4f5b-b18c-d4e7aa570bff/FY24_NIKE%2C-Inc.-Sustainability-Data.pdf,Nike,Low,esg_real_world_50_samples.csv,train
46,"Walmart describes sustainability as connected to everyday low cost, supply certainty, innovation, and long-term business resilience.",Non-ESG,Neutral,Walmart Sustainability,https://corporate.walmart.com/purpose/sustainability,Walmart,Low,esg_real_world_50_samples.csv,train
HARD_G_006,The board added directors with risk and accounting backgrounds to improve oversight quality.,Governance,Positive,synthetic_hard_examples,,Company Vale,Low,esg_hard_examples_v3.csv,train
manual_esg_test_011,The board strengthened audit committee oversight and compliance controls.,Governance,Positive,manual,,Company K,Low,manual_esg_test.csv,train
41,Coca-Cola FEMSA described 2024 as part of a broader transformation while reporting business progress and implementation of strategic initiatives.,Non-ESG,Positive,Coca-Cola FEMSA 2024 Integrated Report,https://investors.coca-colafemsa.com/assets/files/reportes_resultados_en/2024/integrated-report-kof-ir-2024-eng.pdf,Coca-Cola FEMSA,Low,esg_real_world_50_samples.csv,train
HARD_G_014,The audit committee approved a remediation plan for internal controls gaps in inventory valuation.,Governance,Neutral,synthetic_hard_examples,,Company Dune,Medium,esg_hard_examples_v3.csv,train
20,Unilever's sustainability statement describes board-level oversight of human rights due diligence and risk management through governance bodies and committees.,Social,Positive,Unilever Sustainability Statement,https://www.unilever.com/files/unilever-sustainability-statement.pdf,Unilever,Low,esg_real_world_50_samples.csv,train
manual_esg_test_018,The company opened new stores in several Asian markets.,Non-ESG,Neutral,manual,,Company R,Low,manual_esg_test.csv,train
43,Apple announced new product design and materials information across its devices as part of broader product development and operations updates.,Non-ESG,Neutral,Apple Environment,https://www.apple.com/environment/,Apple,Low,esg_real_world_50_samples.csv,train
27,The SEC charged WisdomTree with failing to follow its own investment criteria for ESG-marketed funds and with misstating exposure to fossil fuels and tobacco.,Governance,Negative,SEC WisdomTree ESG enforcement,https://www.sec.gov/newsroom/press-releases/2024-173,WisdomTree,High,esg_real_world_50_samples.csv,train
12,"The SEC adopted rules to enhance and standardize climate-related disclosures by public companies, reflecting investor demand for comparable climate risk information.",Environmental,Neutral,SEC climate disclosure rule,https://www.sec.gov/newsroom/press-releases/2024-31,SEC climate rule,Medium,esg_real_world_50_samples.csv,train
28,"The SEC charged Deutsche Bank subsidiary DWS over misstatements regarding ESG investments and related compliance failures, leading to a monetary settlement.",Governance,Negative,SEC DWS ESG enforcement,https://www.sec.gov/newsroom/press-releases/2023-194,DWS,High,esg_real_world_50_samples.csv,train
HARD_G_007,The company updated its anti-corruption program and required annual certifications from higher-risk intermediaries.,Governance,Neutral,synthetic_hard_examples,,Company Willow,Medium,esg_hard_examples_v3.csv,train
HARD_G_013,The governance report detailed how shareholder rights proposals would be reviewed by independent directors.,Governance,Neutral,synthetic_hard_examples,,Company Crest,Medium,esg_hard_examples_v3.csv,train
HARD_E_001,The company disclosed that Scope 1 and Scope 2 carbon emissions rose after production expanded faster than its renewable energy program.,Environmental,Negative,synthetic_hard_examples,,Company Alpha,High,esg_hard_examples_v3.csv,train
HARD_E_019,The issuer published a revised climate disclosure that added scenario analysis for carbon pricing and physical risk.,Environmental,Neutral,synthetic_hard_examples,,Company Tau,Medium,esg_hard_examples_v3.csv,train
HARD_S_008,"The workforce reduction program was described as a cost action, but the filing also noted expanded transition support for affected staff.",Social,Neutral,synthetic_hard_examples,,Company Drift,Medium,esg_hard_examples_v3.csv,train
9,Coca-Cola was criticized by campaigners after changing a reusable packaging target and emphasizing recycled content and collection goals instead of the earlier reuse commitment.,Environmental,Negative,Guardian Coca-Cola reusable packaging report,https://www.theguardian.com/environment/2024/dec/03/coca-cola-accused-dropping-reusable-packaging-target,Coca-Cola,High,esg_real_world_50_samples.csv,train
HARD_S_007,The issuer disclosed a product safety investigation involving overheating units sold in two regional markets.,Social,Negative,synthetic_hard_examples,,Company Cedar,High,esg_hard_examples_v3.csv,train
HARD_G_019,Directors reviewed greenwashing controls for advertising and investor communications but did not change governance structure.,Governance,Neutral,synthetic_hard_examples,,Company Inlet,Medium,esg_hard_examples_v3.csv,train
HARD_S_012,Management said worker safety performance improved after installing automated shutoff systems in older facilities.,Social,Positive,synthetic_hard_examples,,Company Harbor,Low,esg_hard_examples_v3.csv,train
HARD_N_008,Sales guidance was reduced after distributors delayed orders ahead of a regional pricing strategy reset.,Non-ESG,Negative,synthetic_hard_examples,,Company Radius,Low,esg_hard_examples_v3.csv,train
